Job_ID,Job_Title,Company,Company_Type,Industry,City,Location_Tier,Experience_Level,Job_Type,Work_Mode,Salary_LPA,Skills_Required,Education_Required,Openings,Applicants,Company_Rating,Date_Posted
IND2025000,Android Developer,Tech Mahindra,MNC,Information Technology,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,30.9,"Kotlin, Java, REST APIs",M.Tech/M.E.,3,276,4,31-10-2025
IND2025001,QA Engineer,Dream11,Indian Unicorn,Information Technology,Lucknow,Tier 2,Senior (6-10 yrs),Full-Time,Hybrid,58.6,"Selenium, Manual Testing, Postman, API Testing, Python",B.Tech/B.E.,3,325,4,19-05-2025
IND2025002,Business Analyst,HAL,PSU/Govt,EdTech,Remote,Remote,Senior (6-10 yrs),Full-Time,Remote,18.4,"JIRA, Excel, Power BI",MCA,5,559,3.6,21-08-2024
IND2025003,Cybersecurity Analyst,Groww,Startup,Information Technology,Mumbai,Tier 1,Mid (3-6 yrs),Full-Time,Hybrid,21.7,"Penetration Testing, Python, Ethical Hacking, SIEM, Network Security",BCA,3,184,3.5,18-03-2026
IND2025004,Python Developer,Oracle,MNC,EdTech,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,8,"Docker, REST APIs, AWS, PostgreSQL",MCA,1,64,3.9,25-10-2024
IND2025005,Backend Developer,Nykaa,Indian Unicorn,Information Technology,Indore,Tier 2,Junior (1-3 yrs),Part-Time,Hybrid,10.5,"Java, Docker, MongoDB",B.Tech/B.E.,2,75,3.6,28-04-2026
IND2025006,Power BI Developer,PhonePe,Indian Unicorn,Banking & Finance,Remote,Remote,Mid (3-6 yrs),Full-Time,Remote,18,"Power BI, SQL, Excel, DAX, Data Modeling",MCA,15,1687,3.4,04-06-2024
IND2025007,Business Analyst,Cisco,MNC,Information Technology,Pune,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,11.7,"Agile, Power BI, Requirements Gathering",MCA,1,75,4.3,20-06-2024
IND2025008,Java Developer,HCL Technologies,MNC,Banking & Finance,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,5.3,"REST APIs, Hibernate, Maven, Spring Boot",MCA,2,190,4.3,27-02-2025
IND2025009,Technical Lead,Chargebee,Startup,Media & Entertainment,Delhi,Tier 1,Junior (1-3 yrs),Full-Time,On-Site,12.2,"Microservices, System Design, Team Leadership, Code Review",M.Tech/M.E.,3,282,2.7,24-01-2026
IND2025010,QA Engineer,Infosys,MNC,Information Technology,Remote,Remote,Fresher (0-1 yr),Full-Time,Hybrid,3.8,"Python, Postman, API Testing, Selenium, JIRA, Manual Testing",B.Tech/B.E.,2,162,3.7,06-04-2026
IND2025011,UI/UX Designer,Hasura,Startup,Information Technology,Hyderabad,Tier 1,Mid (3-6 yrs),Internship,On-Site,1.5,"Wireframing, Adobe XD, User Research, Prototyping",M.Tech/M.E.,2,223,3.8,17-08-2024
IND2025012,Data Analyst,ISRO,PSU/Govt,FinTech,Remote,Remote,Fresher (0-1 yr),Full-Time,On-Site,4.4,"SQL, Tableau, Power BI, Statistics, Excel, Python",B.Tech/B.E.,3,259,3.3,22-12-2025
IND2025013,Software Engineer,Google,MNC,Government/PSU,Pune,Tier 1,Junior (1-3 yrs),Full-Time,Hybrid,8.3,"Python, Git, REST APIs",M.Tech/M.E.,3,300,3.4,10-08-2024
IND2025014,Machine Learning Engineer,BHEL,PSU/Govt,EdTech,Lucknow,Tier 2,Mid (3-6 yrs),Full-Time,Hybrid,11.6,"Docker, TensorFlow, PyTorch, Scikit-learn",MBA,3,209,3.5,13-10-2024
IND2025015,Python Developer,Cognizant,MNC,Information Technology,Bhubaneswar,Tier 2,Lead (10+ yrs),Full-Time,On-Site,48,"Django, FastAPI, Docker",MBA,2,181,3.5,09-11-2024
IND2025016,Power BI Developer,BrowserStack,Startup,Information Technology,Remote,Remote,Junior (1-3 yrs),Full-Time,Remote,10.1,"ETL, Data Modeling, DAX",B.Tech/B.E.,1,60,3.6,06-03-2025
