Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
Bachelor's,Finance,"Counseling, MS Office, Machine Learning",Tally ERP,67,Business Analyst
Intermediate,Science,"Accounting, MS Office",AWS Certified,67,Software Engineer
Master's,Business,"Accounting, SQL, Data Analysis",Mental Health Basics,90,Financial Analyst
Bachelor's,Computer Science,Communication,None,75,Clerk
Matric,Business,Data Analysis,Tally ERP,83,Sales Assistant
Matric,Arts,Counseling,Tally ERP,61,Professor
Matric,Computer Science,"MS Office, Financial Analysis",Mental Health Basics,91,Clerk
Matric,Finance,Counseling,Digital Marketing,87,Marketing Executive
Matric,Business,"Financial Analysis, Python",CFA Level 1,78,Junior Accountant
Intermediate,Science,MS Office,CFA Level 1,75,Clerk
PhD,Psychology,Financial Analysis,Digital Marketing,82,School Counselor
Matric,Commerce,Accounting,CFA Level 1,72,Data Entry Operator
Master's,Psychology,"Counseling, Python, Accounting",Mental Health Basics,78,Financial Analyst
Intermediate,Business,Communication,CFA Level 1,77,Research Scientist
PhD,Computer Science,Communication,Digital Marketing,95,Financial Analyst
Matric,Business,"Communication, Data Analysis, Counseling",CFA Level 1,93,Software Engineer
Bachelor's,Finance,"Python, MS Office, Accounting",None,60,Financial Analyst
PhD,Science,"Data Analysis, SQL, MS Office",Digital Marketing,65,Sales Assistant
Bachelor's,Business,"Marketing, Counseling, SQL",Creative Writing,87,Data Entry Operator
Bachelor's,Engineering,Marketing,None,68,Clerk
Matric,Finance,Accounting,Google Data Analytics,88,Clerk
PhD,Psychology,"Counseling, Machine Learning",Creative Writing,60,School Counselor
Master's,Engineering,"Python, Financial Analysis, Marketing",Digital Marketing,73,Sales Assistant
Intermediate,Science,Marketing,AWS Certified,92,School Counselor
Matric,Computer Science,"Accounting, Machine Learning, SQL",Creative Writing,90,Clerk
PhD,Finance,"Counseling, Communication, Machine Learning",Mental Health Basics,62,Data Entry Operator
Bachelor's,Computer Science,"Financial Analysis, Accounting, Data Analysis",Tally ERP,78,Financial Analyst
Bachelor's,Arts,Accounting,Digital Marketing,90,Data Entry Operator
Intermediate,Engineering,Python,Tally ERP,76,Junior Accountant
PhD,Engineering,"Data Analysis, Communication",Creative Writing,95,Clerk
PhD,Engineering,"Machine Learning, Accounting, Communication",Digital Marketing,91,Sales Assistant
Master's,Commerce,Communication,AWS Certified,80,Software Engineer
Master's,Arts,Marketing,Google Data Analytics,76,Research Scientist
Master's,Computer Science,"Financial Analysis, Counseling",Creative Writing,85,ML Engineer
PhD,Psychology,"Python, Financial Analysis, Counseling",Creative Writing,63,Sales Assistant
PhD,Commerce,"Financial Analysis, Marketing, Machine Learning",AWS Certified,81,Data Entry Operator
PhD,Business,Accounting,CFA Level 1,79,Business Analyst
Intermediate,Finance,Accounting,AWS Certified,65,ML Engineer
Bachelor's,Science,"Data Analysis, Financial Analysis, SQL",None,66,Sales Assistant
Master's,Engineering,"SQL, Communication, Counseling",Creative Writing,80,ML Engineer
Bachelor's,Business,"Machine Learning, SQL, Counseling",Digital Marketing,68,Software Engineer
Bachelor's,Finance,"Communication, Marketing",Google Data Analytics,81,Clerk
Bachelor's,Psychology,Counseling,Google Data Analytics,67,Sales Assistant
Master's,Business,MS Office,Digital Marketing,82,ML Engineer
Bachelor's,Commerce,Financial Analysis,Google Data Analytics,73,Financial Analyst
PhD,Psychology,"Python, Counseling",Digital Marketing,90,Clerk
Intermediate,Psychology,"Financial Analysis, Counseling",Mental Health Basics,95,Research Scientist
Master's,Business,Accounting,Digital Marketing,70,Sales Assistant
